id,record_type,title,year,authors,journal_or_publisher,pmid,pmcid,doi,source_database,url,study_type,clinical_topic,drugs,adverse_effects,population,open_access,full_text_status,priority,verification_status
TB-A022,article,The Management of Linezolid-Induced Adverse Events in Tuberculosis: A Systematic Review and Meta-Analysis,2025,Atshemyan H et al.,Journal pending enrichment,39800895.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/39800895/,Systematic review and meta-analysis,Linezolid adverse-event management in TB,Linezolid; cycloserine,Peripheral neuropathy; other linezolid toxicities,Patients treated for tuberculosis with linezolid-containing regimens,Unknown in this dataset,Reference verified; metadata enrichment pending,A,Verified PubMed
TB-A023,article,Bedaquiline-Pretomanid-Linezolid Regimens for Drug-Resistant Tuberculosis,2022,Conradie F et al.,New England Journal of Medicine,36053506.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/36053506/,Randomized clinical trial (ZeNix),Linezolid dose/duration optimisation in BPaL,Bedaquiline; pretomanid; linezolid,Peripheral neuropathy; optic neuropathy; myelosuppression,Patients with highly drug-resistant tuberculosis,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A024,article,Treatment of Highly Drug-Resistant Pulmonary Tuberculosis,2020,Conradie F et al.,New England Journal of Medicine,32130813.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/32130813/,Prospective clinical study (Nix-TB),BPaL treatment and linezolid toxicity,Bedaquiline; pretomanid; linezolid,Peripheral neuropathy; myelosuppression,Patients with highly drug-resistant pulmonary tuberculosis,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A025,article,"Linezolid-Associated Neurologic Adverse Events in Patients with Multidrug-Resistant Tuberculosis, France",2020,Jaspard M et al.,Emerging Infectious Diseases,,PMC7392460,,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC7392460/,Observational cohort study,Neurologic toxicity of linezolid in MDR-TB,Linezolid,Peripheral neuropathy; neurologic adverse events,Patients with multidrug-resistant tuberculosis receiving linezolid,Yes (PMC),PMC available,A,Verified PMC
TB-A026,article,Linezolid use for drug-resistant tuberculosis in Georgia,2020,Mikiashvili L et al.,Journal pending enrichment,32317069.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/32317069/,Programmatic cohort study,Long-term linezolid use in drug-resistant TB,Linezolid,Peripheral neuropathy; cytopenias,Patients with drug-resistant tuberculosis in Georgia,Unknown in this dataset,Reference verified; metadata enrichment pending,B,Verified PubMed
TB-A027,article,Adverse drug reactions due to linezolid in the treatment of drug-resistant tuberculosis,2024,Mishra G et al.,Journal pending enrichment,39067941.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/39067941/,Observational study,Linezolid adverse drug reactions in MDR/RR-TB,Linezolid,Peripheral neuropathy; other adverse drug reactions,Patients on all-oral bedaquiline-based regimens for MDR/RR-TB,Unknown in this dataset,Reference verified; metadata enrichment pending,B,Verified PubMed
TB-A028,article,Effectiveness and Safety of Varying Doses of Linezolid With Bedaquiline and Pretomanid in Treatment of Drug-Resistant Pulmonary Tuberculosis,2024,Padmapriyadarsini C et al.,Clinical Infectious Diseases,39194339.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/39194339/,Open-label randomized clinical trial,Linezolid dose optimisation in BPaL,Bedaquiline; pretomanid; linezolid,Linezolid-associated toxicity including neuropathy,Patients with drug-resistant pulmonary tuberculosis,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A029,article,Neuropsychiatric toxicity and cycloserine concentrations during treatment for multidrug-resistant tuberculosis,2021,Court R et al.,Journal pending enrichment,33684562.0,PMC8126338,,PubMed/MEDLINE; PMC,https://pubmed.ncbi.nlm.nih.gov/33684562/,Pharmacokinetic/toxicity study,Cycloserine exposure and neuropsychiatric toxicity,Cycloserine; terizidone,Psychosis; depression; peripheral neuropathy; neuropsychiatric toxicity,Patients receiving cycloserine/terizidone for MDR-TB,Yes (PMC),PMC available,A,Verified PubMed/PMC
TB-A030,article,"Isoniazid—historical development, metabolism associated toxicity and resistance",2024,Sankar J et al.,Journal pending enrichment,39364056.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/39364056/,Narrative review,Isoniazid metabolism and toxicity,Isoniazid,Peripheral neuropathy; hepatotoxicity,People receiving isoniazid,Unknown in this dataset,Reference verified; metadata enrichment pending,B,Verified PubMed
TB-A031,article,Tuberculosis Associated with HIV Infection,2017,Tornheim JA et al.,Microbiology Spectrum,28233512.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/28233512/,Clinical review,TB/HIV co-infection treatment and toxicity considerations,Isoniazid; rifamycins; other anti-TB drugs,Peripheral neuropathy; drug-drug interactions,People with TB/HIV coinfection,Unknown in this dataset,Reference verified; rights not assessed,B,Verified PubMed
TB-A032,article,Isoniazid-induced neuropathy in a pre-pubertal child,2019,Shetty NS et al.,Journal pending enrichment,29897291.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/29897291/,Case report,Isoniazid-induced peripheral neuropathy in paediatrics,Isoniazid,Peripheral neuropathy,Child receiving anti-tuberculosis therapy,Unknown in this dataset,Reference verified; rights not assessed,C,Verified PubMed
TB-G010,guideline,WHO TB Knowledge Sharing Platform: Annex 2. Monitoring and management of adverse events in treatment of drug-resistant tuberculosis,2025,World Health Organization,World Health Organization,,,,WHO,https://tbksp.who.int/en/node/3051,Operational guidance / adverse-event management annex,Monitoring and management of adverse events in DR-TB; BPaL/BPaLM,Linezolid; bedaquiline; pretomanid; moxifloxacin; other DR-TB drugs,Myelosuppression; anemia; thrombocytopenia; neutropenia; neuropathy; hepatotoxicity; QT prolongation,People receiving treatment for drug-resistant tuberculosis,Yes,Official WHO web guidance,A,Verified official WHO source
TB-A033,article,Linezolid Exposure Is Associated with Cytopenias in Patients Treated for Multidrug-Resistant Tuberculosis,2022,Graciaa DS; Kipiani M; Magee MJ; Mikiashvili L; Barbakadze K; Bablishvili N; et al.,Antimicrobial Agents and Chemotherapy,35916515.0,PMC9487506,10.1128/aac.00408-22,PubMed/MEDLINE; PMC,https://pubmed.ncbi.nlm.nih.gov/35916515/,Secondary analysis of a prospective cohort / pharmacokinetic study,Linezolid exposure and cytopenias in MDR-TB,Linezolid,Cytopenias; anemia; thrombocytopenia; leukopenia/neutropenia,Patients treated for MDR-TB in Georgia,Yes (PMC),PMC available,A,Verified PubMed/PMC/DOI
TB-A034,article,Derivation and Clinical Utility of Safety Targets for Linezolid-Related Adverse Events in Drug-Resistant Tuberculosis Treatment,2023,Keutzer L; Mockeliunas L; Sturkenboom MGG; Bolhuis MS; Akkerman OW; Simonsson USH,Pharmaceuticals (Basel),38004440.0,PMC10674798,10.3390/ph16111575,PubMed/MEDLINE; PMC,https://pubmed.ncbi.nlm.nih.gov/38004440/,Pharmacometric exposure-response analysis,Linezolid safety targets in drug-resistant TB,Linezolid,Anemia; thrombocytopenia; severe thrombocytopenia; peripheral neuropathy,Patients with drug-resistant TB receiving linezolid,Yes (PMC),PMC available,A,Verified PubMed/PMC/DOI
TB-A035,article,Therapeutic Drug Monitoring of Linezolid in Drug-Resistant Tuberculosis Patients: Clinical Factors and Hematological Toxicities,2024,Cheng J et al.,Infection and Drug Resistance,38933777.0,PMC11199169,,PubMed/MEDLINE; PMC,https://pubmed.ncbi.nlm.nih.gov/38933777/,Therapeutic drug monitoring / observational study,Linezolid exposure and hematological toxicity in DR-TB,Linezolid,Thrombocytopenia; hematological toxicity,Patients with drug-resistant tuberculosis receiving linezolid,Yes (PMC),PMC available,A,Verified PubMed/PMC; DOI enrichment pending
TB-A036,article,Linezolid-related adverse effects in the treatment of rifampicin resistant tuberculosis: a retrospective study,2023,Cui D; Hu X; Shi L; Wang D; Chen G,Journal of Chemotherapy,36322121.0,,10.1080/1120009X.2022.2136447,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/36322121/,Multicenter retrospective study,Linezolid safety in rifampicin-resistant TB,Linezolid,Bone marrow suppression; leukopenia; thrombocytopenia; neuropathy,184 patients with rifampicin-resistant tuberculosis,Unknown in this dataset,Reference verified; rights not assessed,B,Verified PubMed/DOI
TB-A037,article,Introducing BPaL: Experiences from countries supported under the LIFT-TB project,2024,Wares DF et al.,PLoS ONE,39561206.0,,10.1371/journal.pone.0310773,PubMed/MEDLINE; PLoS,https://pubmed.ncbi.nlm.nih.gov/39561206/,Multicountry operational research,Programmatic implementation and safety of BPaL,Bedaquiline; pretomanid; linezolid,Linezolid-associated adverse events including myelosuppression and neuropathy,Patients receiving BPaL in multiple countries,Yes (PLoS),Open-access publisher,A,Verified PubMed/DOI
TB-A038,article,Pharmacodynamic Correlates of Linezolid Activity and Toxicity in Murine Models and Patients with Tuberculosis,2021,Bigelow KM et al.,Journal pending enrichment,,PMC8176636,,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8176636/,Translational pharmacodynamic analysis,Exposure-response relationships for linezolid efficacy and toxicity,Linezolid,Bone marrow toxicity; anemia; thrombocytopenia,Tuberculosis models and patient data,Yes (PMC),PMC available,A,Verified PMC; PMID/DOI enrichment pending
TB-G011,guideline,WHO TB Knowledge Sharing Platform: Monitoring for adverse effects — electrocardiogram monitoring,2025,World Health Organization,World Health Organization,,,,WHO,https://tbksp.who.int/en/node/2178,Operational guidance,ECG monitoring and management of QT prolongation in MDR/RR-TB,Bedaquiline; clofazimine; delamanid; fluoroquinolones,QT prolongation; arrhythmia risk,People receiving MDR/RR-TB treatment,Yes,Official WHO web guidance,A,Verified official WHO source
TB-G012,guideline,"WHO prequalified bedaquiline product information: QT prolongation, ECG and electrolyte monitoring",2025,World Health Organization Prequalification,World Health Organization,,,,WHO,https://extranet.who.int/prequal/sites/default/files/whopar_files/TB395part4v1.pdf,WHO product information / prescribing guidance,Bedaquiline cardiac safety and interactions,Bedaquiline; clofazimine; delamanid; levofloxacin; other QT-prolonging medicines,QT prolongation; ventricular arrhythmia,People receiving bedaquiline-containing TB treatment,Yes,Official WHO PDF,A,Verified official WHO source
TB-A039,article,Effectiveness and Cardiac Safety of Bedaquiline-Based Therapy for Drug-Resistant Tuberculosis,2021,Brust JCM et al.,Clinical Infectious Diseases,33882121.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/33882121/,Observational cohort study,Cardiac safety of bedaquiline in rifampin-resistant TB,Bedaquiline-containing regimens,QT prolongation; cardiac events,Patients with rifampin-resistant tuberculosis in South Africa,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A040,article,QT Interval Prolongation in People Treated With Bedaquiline for Drug-Resistant Tuberculosis Under Programmatic Conditions,2021,Isralls S et al.,Open Forum Infectious Diseases,,PMC8403230,,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8403230/,Programmatic observational cohort,Bedaquiline-associated QT prolongation,Bedaquiline; background DR-TB regimen,QTcF prolongation; arrhythmia surveillance,Patients with drug-resistant tuberculosis in KwaZulu-Natal,Yes (PMC),PMC available,A,Verified PMC
TB-A041,article,Effects of Bedaquiline Combined with Fluoroquinolone and/or Clofazimine on QT Interval in Patients with Multidrug-Resistant Tuberculosis,2023,Li R et al.,Frontiers in Pharmacology / publisher metadata pending confirmation,,PMC10434111,,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10434111/,Observational safety study,Additive QT effects of bedaquiline with fluoroquinolones/clofazimine,Bedaquiline; fluoroquinolones; clofazimine,Grade 3/4 QT prolongation,Patients with MDR-TB,Yes (PMC),PMC available,A,Verified PMC
TB-A042,article,QT Interval Prolongation with One or More QT-Prolonging Drugs in Children with Rifampicin-Resistant Tuberculosis,2023,Ali AM et al.,Journal pending enrichment,37358463.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/37358463/,Pediatric observational study,QT prolongation in pediatric RR-TB,Moxifloxacin; clofazimine; bedaquiline and other QT-prolonging drugs,QTcF prolongation,Children with rifampicin-resistant tuberculosis,Unknown in this dataset,Reference verified; metadata enrichment pending,B,Verified PubMed
TB-A043,article,Impact of all-oral bedaquiline-based shorter regimens in drug-resistant tuberculosis: systematic review and meta-analysis,2025,Fekadu G et al.,BMJ-family journal; enrichment pending,40194835.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/40194835/,Systematic review and meta-analysis,Effectiveness and safety of all-oral bedaquiline-based shorter regimens,Bedaquiline-based DR-TB regimens,QTc prolongation; cardiovascular adverse events,Patients with drug-resistant tuberculosis,Open access indicated by publisher,Reference verified; rights/license to be checked before redistribution,A,Verified PubMed
TB-A044,article,"Exposure-QTc modeling of bedaquiline, pretomanid, and clofazimine in tuberculosis treatment",2026,Authors pending enrichment,Journal pending enrichment,41801043.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/41801043/,Exposure-QTc pharmacometric modeling study,"Combined exposure and QT effects of bedaquiline, pretomanid and clofazimine",Bedaquiline; pretomanid; clofazimine,QTcF prolongation,Tuberculosis patients / pharmacometric datasets,Unknown in this dataset,Reference verified; metadata enrichment pending,A,Verified PubMed
TB-A045,article,Therapy-induced cardiotoxicity in drug-resistant tuberculosis: systematic review and meta-analysis,2025,Authors pending enrichment,Journal pending enrichment,41978650.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/41978650/,Systematic review and meta-analysis,Cardiotoxicity of drug-resistant TB regimens,Bedaquiline; delamanid; other DR-TB drugs,QTc prolongation; clinically significant QT prolongation,Patients with MDR/pre-XDR/XDR tuberculosis,Unknown in this dataset,Reference verified; metadata enrichment pending,A,Verified PubMed
TB-G013,guideline,WHO TB Knowledge Sharing Platform: Annex 2 monitoring and management of adverse events — visual acuity and colour vision,2025,World Health Organization,World Health Organization,,,,WHO,https://tbksp.who.int/en/node/3051,Operational guidance,Optic neuritis monitoring in drug-resistant TB treatment,Linezolid; ethambutol,Optic neuritis; loss of red-green discrimination; reduced visual acuity,People receiving TB treatment,Yes,Official WHO web guidance,A,Verified official WHO source
